	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP012103	3451	2138	2856	2028	6244	7952	6412	6675	4736	7899	5566	7877
AGAP002619	143	108	96	70	346	535	371	419	255	337	250	267
AGAP006810	1557	818	1046	1179	429	561	387	396	469	756	613	776
AGAP010085	297	174	250	207	193	257	193	145	148	163	147	169
AGAP009791	3284	1449	1900	2662	5491	5896	6536	6062	1578	4640	3930	2656
AGAP000651	8636	6538	8162	4290	7995	10510	12980	7672	9555	10913	7238	11400
AGAP009633	1877	1132	1154	1009	1030	796	535	762	843	1061	808	817
AGAP002070	59	25	11	9	14	30	33	21	15	17	0	9
AGAP000252	7931	4975	5279	4750	4976	5437	4686	6253	6088	6191	6052	7009
AGAP007259	9960	6105	6838	5587	3757	4311	3045	3176	4709	4925	4721	5439
AGAP000372	237	100	107	78	388	541	544	375	207	342	256	303
AGAP029671	97	40	30	13	57	89	129	89	9	36	27	37
AGAP006257	659	625	429	378	297	559	497	536	128	162	222	200
AGAP029796	331	188	184	171	148	201	178	192	90	161	174	164
AGAP028003	45	7	30	5	5	0	8	11	8	19	2	5
AGAP005070	431	231	287	304	222	435	299	332	476	336	464	534
AGAP000072	86	33	48	34	2	36	39	42	15	11	11	18
AGAP000663	7309	4468	4914	4610	5211	6314	5816	5266	4127	5028	5029	5502
AGAP006900	2041	1597	1802	1894	1313	1102	1354	1127	542	855	558	550
AGAP007419	1585	877	1049	905	688	789	548	623	546	702	704	733
AGAP000190	237	112	157	106	276	405	403	338	283	504	351	446
AGAP011464	25132	22333	16595	15766	19394	19195	15007	20900	13279	16988	14902	17745
AGAP002850	77	42	27	22	20	20	22	11	2	5	6	16
AGAP007246	150	128	140	118	44	103	79	102	62	84	65	126
AGAP004015	31	10	1	6	26	28	3	33	2	31	18	4
AGAP011220	1496	451	1081	998	627	847	687	453	1303	1315	1337	2224
AGAP008222	222	150	151	91	318	385	373	383	250	308	242	285
AGAP001379	110	51	72	94	65	97	76	77	74	84	70	90
AGAP004886	21022	13879	13658	12084	7861	8920	5779	6200	10027	9870	9435	11146
AGAP004101	250	175	220	170	156	184	108	159	202	230	236	226
AGAP029058	1652	819	833	907	884	1260	1064	888	756	1212	893	1178
AGAP012611	1115	633	614	579	161	202	143	175	215	304	304	304
AGAP001358	946	724	576	519	1309	1708	2085	1944	779	1219	1016	1157
AGAP010649	260	108	61	72	228	297	216	216	142	256	205	193
AGAP002358	513088	285546	317405	302483	476751	529344	436839	472499	173402	318730	247420	275753
AGAP010186	2679	2053	2102	1492	4561	4862	3896	4199	2208	4156	3258	3707
AGAP007388	7305	3557	4748	3890	11877	17416	13234	13631	13507	21853	12563	23208
AGAP008278	4842	2064	3021	2004	594	572	324	586	944	906	934	1700
AGAP002922	6942	4352	4412	4022	4067	4351	4035	3833	3622	3927	3782	3980
AGAP005056	1123	599	726	844	1270	1109	946	714	1055	1338	1186	1346
AGAP005955	4298	2984	2844	2397	1181	1503	1108	1279	1312	1632	1501	1620
AGAP008887	572	478	493	358	831	937	844	861	709	1073	906	937
AGAP009893	12523	7823	8762	7582	10104	8225	6262	8388	4178	6583	7540	6591
AGAP029949	31	10	5	6	17	23	16	5	17	44	47	15
AGAP004633	5488	3039	2637	2566	1712	1418	1081	1198	856	954	907	1061
AGAP005149	5126	2524	4798	3199	915	875	759	849	1609	1487	1139	1685
AGAP009054	2413	950	1573	1379	729	812	819	735	926	1278	1356	1493
AGAP003093	2274	1064	1537	1265	834	897	716	575	1263	1122	1225	1221
AGAP009708	188	102	96	121	360	452	424	426	585	724	486	795
AGAP028157	507	334	272	327	687	617	522	401	465	410	342	390
AGAP004661	2441	1528	1502	1156	1139	1292	762	975	962	1028	1068	1245
AGAP013248	49	17	37	17	16	14	37	16	3	32	2	29
AGAP012092	3611	1882	2064	2013	4586	4222	2482	2764	4347	6422	5101	4318
AGAP000329	326	219	183	182	411	593	622	430	120	282	182	206
AGAP000953	106221	61126	74993	66841	54439	57265	39752	51944	63257	69341	70121	74648
AGAP028580	9	11	10	15	91	137	124	102	41	43	80	108
AGAP001935	2614	1752	1704	1466	1841	2629	2626	2129	881	1533	1198	1446
AGAP028673	623	240	374	321	263	346	276	233	337	482	406	436
AGAP000516	875	480	526	568	266	254	235	187	214	295	255	226
AGAP013073	1320	876	654	630	320	511	436	434	473	442	577	540
AGAP004423	9868	6489	6902	6119	6545	7974	5947	6159	5239	7711	6908	8084
AGAP000692	74769	32842	40341	42596	22972	28402	20645	29055	24167	28581	21073	24737
AGAP008384	1883	1370	1284	1362	2180	2361	1665	2501	1236	1697	1329	1601
AGAP010313	6230	3516	4355	3629	5919	6668	5040	4058	6659	8416	6603	8567
AGAP027995	10519	5193	6069	5981	4504	5275	3864	3593	5346	5826	5372	7022
AGAP007200	15	5	1	2	11	23	15	13	1	8	0	3
AGAP028133	204	218	131	134	121	201	165	136	109	137	151	141
AGAP003522	1699	996	1180	927	880	961	904	799	958	1244	1241	1461
AGAP001618	70	39	22	18	26	55	57	47	30	43	43	36
AGAP005015	5265	3403	3712	3233	2896	3422	2958	3024	2452	3486	3255	3515
AGAP000658	342	238	150	128	172	230	133	161	159	223	189	172
AGAP000471	3455	2306	2361	2524	3361	3653	3613	3558	2343	3038	2400	2664
AGAP002388	742	300	494	456	455	396	405	374	575	684	649	813
AGAP000816	7	6	0	4	8	6	1	0	2	0	0	0
AGAP006062	2147	1212	1372	1497	1690	1772	1422	1501	1288	1818	1855	2180
AGAP029477	90	41	24	38	81	133	63	66	85	88	59	94
AGAP011454	1796	1133	1409	1387	2064	2578	2218	2100	1827	3106	2562	3330
AGAP000408	0	2	1	0	0	0	4	0	0	0	1	1
AGAP011021	8	0	0	7	4	6	2	0	0	2	0	2
AGAP003221	2729	3354	2185	2037	2112	2554	2032	2784	2259	2453	2305	3657
AGAP001563	2086	1790	1417	1224	1481	1647	1411	2131	1148	1233	1169	1895
AGAP005633	1178	1132	829	879	1019	1114	826	902	566	761	742	670
AGAP009487	590	335	366	339	909	1296	1385	1166	541	1103	723	914
AGAP001885	342	177	320	342	226	383	224	325	265	354	229	257
AGAP004575	234	135	151	148	148	140	119	93	208	204	105	177
AGAP010112	10	4	5	0	9	4	2	5	2	2	1	4
AGAP028159	151	81	96	108	25	35	31	24	67	51	52	59
AGAP007459	89	33	33	40	32	43	65	43	25	22	17	68
AGAP011946	3621	2053	2246	2016	1636	1613	1387	1818	1809	1935	1978	2356
AGAP012309	4183	2028	2560	2324	1507	1621	990	1204	1465	1800	1620	1929
AGAP002549	1813	1337	1451	1448	1459	1811	1671	1655	1319	1882	1348	2007
AGAP006328	2105	1383	1500	1472	2485	3438	2785	2639	1597	2188	1899	2258
AGAP007722	10946	6401	6900	6493	5281	5096	3414	4378	5889	6049	5796	7071
AGAP004974	74	19	20	10	11	12	18	41	13	3	2	11
AGAP028612	2443	2079	1356	1060	1829	2089	1638	1973	359	806	679	510
AGAP028598	267	291	232	197	277	345	309	243	209	344	309	308
AGAP004728	541	265	258	245	307	283	205	246	153	213	166	189
AGAP029531	6719	5135	4848	4463	5895	6080	4342	5437	5194	6316	6252	6965
AGAP000526	4439	3244	3334	3066	5432	5504	5856	5923	3980	5900	4927	5560
AGAP005678	152	88	87	69	62	121	148	77	67	92	88	104
AGAP029325	1029	407	431	534	69	117	73	65	106	136	114	164
AGAP007858	307	93	140	147	94	115	100	119	355	154	102	104
AGAP004881	4873	3275	3291	2401	2120	2351	1457	1902	2308	2233	2029	2772
AGAP009889	735	768	664	541	1450	1576	1493	1876	849	1253	829	1127
AGAP001538	341	129	227	188	344	461	425	338	278	476	262	386
AGAP009957	446	233	401	442	500	679	617	367	289	539	502	685
AGAP029207	82	19	33	25	33	52	36	87	18	44	13	36
AGAP002859	609	340	334	225	1429	1924	2504	2135	417	828	628	834
AGAP011555	173	145	141	102	212	364	422	221	87	149	152	153
AGAP008724	195811	119640	123541	99518	82761	89670	55225	75678	40578	59514	51486	57512
AGAP006678	639	351	538	337	2047	3151	3259	2444	1083	1858	1270	1707
AGAP000999	45494	20344	30734	27407	9663	10741	7135	8311	9684	9607	10242	10626
AGAP004931	579	381	359	435	218	230	211	177	262	265	328	461
AGAP000139	513	258	271	209	786	728	633	869	701	840	607	720
AGAP001796	836	416	474	415	195	196	146	154	323	312	328	382
AGAP002889	45315	28769	29076	22591	22049	23741	16473	21273	14103	18039	14940	17706
AGAP029094	17	0	6	0	0	2	6	8	0	2	2	0
AGAP008830	3212	1343	1963	1838	1706	1629	1546	1686	1280	1652	1437	1691
AGAP004029	719	357	513	402	323	293	224	236	442	460	460	588
AGAP029827	7592	3241	4839	3818	1204	1367	1088	547	3840	1915	3220	2318
AGAP003593	1027	670	915	638	1142	1499	1316	1307	1225	1508	1323	1736
AGAP000043	897	459	716	539	1904	2871	3178	2230	1024	2038	1313	1823
AGAP007544	784	466	558	472	399	492	470	375	474	491	432	628
AGAP009692	228	139	184	154	161	225	210	120	75	161	58	62
AGAP029832	79	2	16	6	6	1	14	19	10	12	1	8
AGAP012087	371	223	215	174	587	761	866	652	327	603	397	560
AGAP002360	58	164	14	17	7	18	13	9	8	13	0	7
AGAP006760	5	1	1	1	2	7	0	0	0	3	0	1
AGAP029818	15	1	0	3	3	4	0	0	0	0	0	0
AGAP028168	32	10	8	10	36	35	6	32	11	23	7	22
AGAP008381	981	558	615	467	569	709	680	439	542	638	609	681
AGAP002580	206	106	123	56	161	214	241	183	176	274	210	286
AGAP003253	83	37	32	42	61	61	31	78	13	12	42	16
AGAP006553	26	8	9	7	4	7	11	17	0	3	0	0
AGAP004595	454	322	308	294	716	911	1050	852	267	484	407	398
AGAP002704	10212	6153	6998	6097	4636	5413	3984	4821	3970	4853	4985	5501
AGAP001817	1071	472	660	600	147	192	169	148	319	307	260	349
AGAP009561	289	222	236	144	263	331	268	344	173	207	169	208
AGAP029839	566	111	343	732	106	62	43	140	12	41	145	104
AGAP000705	7581	4282	5207	3890	3831	3856	2658	3619	3372	4185	4098	4941
AGAP012325	35	38	19	13	11	56	4	25	14	30	36	24
AGAP001732	847	692	648	639	255	272	415	245	490	285	480	364
AGAP003369	5161	3597	3920	3228	4997	6199	5113	5737	3562	5057	4441	5271
AGAP003493	33770	25862	21105	16306	10831	13132	8901	10396	25886	18085	16340	25809
AGAP012590	1782	1000	827	1076	1513	1702	1078	1291	1782	1676	1970	2105
AGAP003645	1211	759	773	665	1379	1893	1807	1723	1208	1656	1278	1880
AGAP002756	3999	2471	2618	2299	1974	2211	1650	1569	1731	1859	1795	2261
AGAP006235	1127	587	755	654	1004	1115	929	796	656	1032	1128	1096
AGAP007894	2157	1286	1106	1126	1376	1317	931	1200	1924	2212	1736	1838
AGAP003485	2595	1802	1897	1709	1759	1885	1327	1490	2159	2315	2277	2929
AGAP003867	810	497	640	559	313	351	332	366	360	477	413	445
AGAP008528	2289	1365	1506	1402	1502	1924	1368	1551	1674	2226	1716	1945
AGAP007464	96	32	35	31	61	99	81	45	62	50	41	30
AGAP007662	231	137	180	125	163	167	129	168	78	152	139	153
AGAP006890	831	562	527	490	723	821	674	569	712	844	701	909
AGAP000365	3995	2440	2861	2567	3384	3452	3238	3220	4164	4194	3826	5137
AGAP012446	0	0	0	0	0	0	0	0	0	0	0	0
AGAP002442	259	2934	265	152	73	126	97	51	3	15	10	15
AGAP006449	8	12	10	7	0	4	11	3	0	0	0	0
AGAP008236	2027	1249	1667	1257	3150	3801	3358	2907	2562	3977	2908	3506
AGAP003394	52	13	28	15	55	132	80	69	22	80	32	36
AGAP003203	1442	883	979	851	647	764	612	581	712	854	660	912
AGAP009471	1476	1048	860	760	1113	1129	914	1332	384	500	654	425
AGAP004375	641	359	394	527	440	559	463	582	295	342	346	327
AGAP003883	1569	716	1165	944	369	374	390	361	663	670	729	915
AGAP005152	968	509	544	596	396	418	328	282	444	464	451	601
AGAP004956	4255	2098	2785	1903	1176	1353	1056	1040	1318	1636	1410	2210
AGAP013122	2988	1649	2161	1802	718	848	567	641	1012	1121	1006	1140
AGAP013300	39	4	7	11	0	2	1	8	0	0	2	2
AGAP005237	1381	1003	921	921	1343	1381	1260	1106	845	1348	1350	1354
AGAP010016	24	16	13	22	8	2	24	13	7	18	6	13
AGAP001399	5637	3869	4243	3871	3599	3880	3638	3559	3611	4623	3818	4606
AGAP000322	285	179	201	176	545	689	794	560	342	559	524	578
AGAP000266	89	25	8	33	38	80	36	48	24	25	8	46
AGAP011911	186	64	84	64	268	352	379	301	153	246	271	239
AGAP013223	200	102	133	130	108	91	54	60	105	98	93	146
AGAP000668	794	435	452	385	1619	1864	2031	1514	787	1382	966	1473
AGAP011997	821	432	580	500	928	1171	871	1055	1003	1326	1340	1299
AGAP004984	1016	509	580	547	363	405	344	323	476	536	497	520
AGAP008985	6445	4535	4607	4282	8320	9956	7568	6823	5879	8266	7579	8663
AGAP012318	3	2	2	2	4	0	0	13	0	0	3	0
AGAP013350	8	1	0	2	0	1	3	7	1	2	0	0
AGAP011016	11	9	6	4	1	4	4	16	0	2	4	2
AGAP000199	904	656	710	664	1553	1557	1248	1186	1345	1550	1204	1399
AGAP004690	2425	4939	1130	390	291	270	435	403	321	570	318	861
AGAP005229	979	560	662	578	681	938	905	760	777	823	815	763
AGAP001913	162	85	115	66	316	327	347	302	108	204	208	163
AGAP029200	34	9	0	5	4	7	8	25	0	5	1	0
AGAP006413	3452	2257	2594	2101	2492	2926	2386	2482	2510	2939	2744	2827
AGAP000076	2112	1194	1484	1136	4683	3776	4298	3683	2304	4044	2361	3239
AGAP009257	145	27	39	57	95	157	159	138	26	73	42	59
AGAP002152	405	228	253	152	681	1129	1188	870	285	479	379	571
AGAP003991	111	46	79	78	384	402	377	321	539	615	505	726
AGAP012904	16	10	6	8	2	1	16	7	2	1	1	12
AGAP003360	5941	3397	3754	2967	1681	1603	1340	1318	2178	2088	2071	2292
AGAP013713	114	82	60	71	147	164	155	241	56	108	106	147
AGAP008291	2390	578	1135	672	6129	7686	3780	7421	3209	4921	3549	8435
AGAP005878	1002	914	679	508	1053	1667	1385	1501	956	1177	956	1099
AGAP004273	2836	1820	1891	1548	4573	5284	5081	4669	2257	3591	3039	3410
AGAP002652	25362	16090	16991	14115	6873	7023	4432	6949	7024	7392	6647	7732
AGAP029647	432	273	244	261	729	844	1026	739	510	671	492	733
AGAP000416	9598	5058	6320	5411	4049	3905	2791	3691	5612	4561	5128	6006
AGAP003364	971	412	482	515	580	775	386	515	480	690	519	707
AGAP029461	1182	633	900	634	465	587	506	390	583	862	844	1034
AGAP011370	235	130	183	145	320	466	395	378	97	217	170	219
AGAP002970	9884	5218	5728	5111	4790	5388	4030	4010	4974	6687	6082	6971
AGAP012725	14	2	0	1	2	2	11	4	5	13	7	5
AGAP010729	457	197	292	220	222	172	175	139	179	213	274	253
AGAP028513	107	66	95	65	79	141	209	100	35	65	46	49
AGAP003936	2764	1510	1777	1452	689	682	594	588	869	928	874	1080
AGAP002525	12437	8369	8939	8111	10644	11712	9050	10990	9175	12209	10379	11549
AGAP005602	3201	1954	2123	2015	627	718	512	516	796	745	799	855
AGAP004942	4975	2883	3572	2435	4845	5733	4633	4422	2886	4099	3210	4225
AGAP013179	3608	2511	3117	2738	2098	2795	3635	2690	1027	1968	1368	2215
AGAP012376	979	547	641	616	234	189	198	242	331	374	425	336
AGAP028428	0	0	0	1	1	3	1	2	0	3	0	0
AGAP001250	66	31	35	38	13	32	11	15	21	10	15	9
AGAP013747	3370	1862	2356	1839	1351	1310	1010	1155	1569	1503	1689	1762
AGAP028040	564	278	359	322	309	308	209	171	237	319	373	371
AGAP029940	146	40	29	56	11	16	23	14	10	21	13	9
AGAP010642	30	13	16	7	25	29	22	14	18	44	16	47
AGAP002244	1349	1109	965	904	342	358	244	253	224	221	278	276
AGAP002808	2693	1276	1937	1541	971	1061	859	834	1503	1652	1514	2046
AGAP002542	170	154	105	82	126	115	76	112	194	97	128	376
AGAP005059	333	249	327	257	165	235	133	153	187	259	305	262
AGAP009882	3537	2055	2766	2012	1101	1344	903	912	1268	1539	1507	1433
AGAP013317	25	18	6	11	4	5	4	7	4	6	1	4
AGAP005104	1935	1003	1239	1085	699	706	575	546	879	850	868	951
AGAP009007	213	172	131	116	563	922	881	817	184	413	359	347
AGAP010790	518	175	200	192	243	443	307	399	139	359	173	269
AGAP013529	31	22	15	14	65	56	46	105	44	43	27	39
AGAP013192	31615	26898	19859	17143	8246	7586	5776	11612	9242	8845	12900	11075
AGAP008218	856	449	559	341	2436	1664	852	1002	2757	4288	3431	3781
AGAP010930	294	215	219	183	408	350	307	347	210	255	249	276
AGAP013346	92	50	20	29	75	80	35	50	19	61	28	95
AGAP003437	521	319	399	290	330	384	351	302	236	322	486	308
AGAP029917	518	237	295	312	235	224	182	188	168	254	221	267
AGAP002516	2469	1621	1846	1825	1791	2528	1797	1721	2436	2711	2996	2935
AGAP010032	5352	2586	3545	2700	7662	8535	4779	6362	6441	7909	7499	11951
AGAP002227	3539	2228	2503	2317	1387	1412	1254	1241	1541	1620	1823	1847
AGAP029800	81	37	29	56	62	53	58	51	52	60	45	26
AGAP029219	647	473	379	362	269	227	251	346	162	209	177	187
AGAP001264	5578	3320	3735	3008	1257	1360	1164	1325	1664	1699	1793	2369
AGAP013184	12532	6485	8792	6499	1357	1211	634	1069	1810	1133	1321	1698
AGAP010305	13403	6335	7408	7010	3743	4528	2841	3066	6505	6833	5527	7639
AGAP001372	8527	7332	6327	5076	3578	4588	3626	3177	3274	3733	3473	3746
AGAP010585	1897	985	1207	1216	1207	1575	1144	1089	1222	1667	1310	1665
AGAP000281	880	509	699	572	993	1267	1237	1095	454	915	875	797
AGAP008303	681	508	459	389	798	821	845	844	504	939	777	892
AGAP005683	732	452	471	367	467	717	566	511	446	687	667	680
AGAP001235	1677	982	1114	872	897	1110	1021	942	1512	1762	1142	2040
AGAP029454	217	109	109	156	180	257	194	110	151	200	190	229
AGAP010699	282	111	226	234	242	338	185	146	301	489	268	530
AGAP013129	0	0	0	0	0	1	0	0	0	0	0	0
AGAP009590	90	37	30	49	72	98	79	121	63	78	53	37
AGAP005022	636	368	450	502	224	191	174	172	274	199	202	310
AGAP000488	151	32	41	47	60	72	89	69	27	55	30	18
AGAP008198	343	210	227	201	353	391	395	356	187	373	264	330
AGAP007478	1333	842	1083	954	3360	4388	4974	3619	2190	3044	2280	2802
AGAP000726	741	515	543	601	902	1008	915	938	323	693	519	454
AGAP006899	433	288	373	228	181	229	105	244	164	135	143	184
AGAP010720	2951	1464	1966	1910	1151	1399	992	1024	1147	1605	1418	1964
AGAP001027	3271	2334	2326	1854	1616	1989	1745	1703	1828	1375	1376	1647
AGAP011287	4043	2742	3027	2730	2884	3039	2964	2157	1909	1737	1834	2017
AGAP001706	4993	4573	4017	3445	3885	4655	2926	3979	2456	3561	3078	3687
AGAP013308	53	11	8	13	1	12	8	22	1	3	0	0
AGAP012682	13	0	4	10	1	0	3	0	1	0	0	0
AGAP012404	8362	4758	5171	4209	4094	4838	3149	4091	4195	5584	4248	6070
AGAP002352	10183	5884	7320	6568	4242	4825	3307	3671	4666	6121	5402	6428
AGAP001928	4662	2674	3277	3019	4829	5467	4551	4709	4867	6735	5609	5950
AGAP004022	698	264	344	357	406	471	275	336	557	553	559	599
AGAP012977	63	23	0	5	2	7	2	28	6	8	12	0
AGAP007292	2207	978	826	1406	991	1021	900	779	961	1008	1407	993
AGAP007309	37025	24459	22624	22112	33538	36169	21681	30328	20118	30542	23921	26189
AGAP000367	7863	4157	5179	4531	7997	9140	8976	9740	16383	17290	12297	22941
AGAP002310	551	549	376	346	682	979	975	792	410	861	572	669
AGAP029711	113	57	67	41	80	166	104	132	244	164	212	225
AGAP028176	67	25	11	17	31	57	55	47	44	32	19	28
AGAP002140	1092	608	731	612	238	225	139	222	288	331	346	334
AGAP013769	72	32	26	25	57	71	81	87	35	59	32	42
AGAP000496	2425	1259	1597	1400	1038	1145	1130	943	1250	1684	1783	1968
AGAP006551	22	1	6	3	10	5	12	19	1	11	0	8
AGAP001705	131	130	108	60	80	108	115	72	45	65	41	88
AGAP002855	88	54	57	48	28	54	13	68	27	35	38	39
AGAP029853	108	37	35	18	60	52	50	49	35	38	28	35
AGAP005502	1252	927	853	712	849	780	559	797	564	616	689	559
AGAP029805	1353	721	883	920	953	1287	933	901	932	1352	923	1132
AGAP010476	7250	4018	5173	3918	2699	2791	2176	2328	3642	3698	3740	4407
AGAP029470	535	240	315	380	382	614	446	320	435	796	517	858
AGAP000116	1301	920	1033	816	730	931	796	863	667	629	753	850
AGAP011143	109	66	35	35	49	103	112	79	49	52	74	32
AGAP001821	679	623	527	375	355	363	288	438	283	362	288	293
AGAP013420	346	137	239	185	243	207	177	197	250	259	256	349
AGAP007474	19245	16089	17187	11872	23585	29045	29583	27792	15710	24024	20824	25640
AGAP010135	4093	2130	2657	2378	1836	2207	1504	1389	2250	2420	2361	2791
AGAP011724	580	379	388	308	1117	1640	1527	1398	536	804	641	738
AGAP001508	127525	51684	87712	53664	265	3646	274	12	11722	149	444	278
AGAP000589	2912	1671	2083	1835	1349	1684	1383	1494	1506	1872	1589	2210
AGAP003900	16329	13727	16083	6366	4107	3547	3955	3089	3095	1695	2487	2869
AGAP009282	27	17	3	6	14	12	11	35	7	5	9	6
AGAP013149	29269	18628	19944	17518	111112	113163	125319	91507	90840	110661	110227	106586
AGAP012498	300	337	154	113	62	125	106	106	38	84	30	62
AGAP011003	23	7	13	13	9	20	10	14	1	6	3	8
AGAP002040	296	227	133	186	567	655	759	660	381	652	452	556
AGAP029193	46	14	13	17	38	32	26	28	27	47	39	40
AGAP011398	74	31	25	20	31	23	46	33	19	21	31	48
AGAP010884	3892	3501	2855	2426	6588	8442	7254	6861	4536	6065	4878	6341
AGAP007439	66	39	56	34	110	179	185	169	50	68	50	63
AGAP006971	20	6	1	3	2	4	4	14	2	0	0	4
AGAP011340	1365	802	1033	795	960	1035	895	1023	1062	1265	1210	1392
AGAP002678	364	187	180	105	360	510	474	345	160	266	207	143
AGAP010879	722	381	547	622	819	650	607	613	609	884	629	915
AGAP007088	13764	9521	8982	8203	4700	5051	4422	4365	6822	5892	5460	6724
AGAP012845	1031	760	620	549	326	238	327	349	456	477	382	444
AGAP009650	241	118	148	166	116	96	127	138	122	162	177	159
AGAP011541	1611	930	986	962	1134	1391	1329	1219	825	1029	1123	1246
AGAP006442	41046	20796	30535	22400	17562	15129	19221	12360	11992	9513	7893	13505
AGAP007032	1518	987	1123	1153	1270	2033	1556	1170	1560	2303	1800	2057
AGAP013757	21	4	0	5	4	4	24	18	10	11	4	2
AGAP001199	125338	46196	53209	57218	376679	333800	316154	371640	94848	188934	144948	133148
AGAP011619	59	7	8	23	13	12	15	22	1	16	0	2
AGAP012854	28	9	8	3	0	4	17	12	10	8	0	12
AGAP010251	28130	16810	17882	14856	9014	9841	7420	7325	12394	12467	11145	14193
AGAP012553	14	11	11	15	46	26	28	17	28	30	39	31
AGAP012600	38	20	23	37	37	40	22	31	24	42	24	36
AGAP007977	615	370	393	349	811	792	909	851	595	862	662	882
AGAP010867	546	333	240	335	505	573	450	479	267	393	289	303
AGAP001259	199	84	88	81	112	180	166	162	93	150	105	126
AGAP006165	2998	1288	2221	1375	7859	12013	11920	8609	4799	8396	5082	7613
AGAP009979	8511	3926	5136	4472	2964	3047	2137	2371	3479	3125	3202	3905
AGAP013733	158	120	161	157	335	357	414	287	214	387	366	336
AGAP003004	1461	938	870	835	754	866	648	636	777	714	896	924
AGAP008766	77	25	26	27	57	83	99	123	10	58	29	23
AGAP004199	6674	3583	4372	3794	4355	4277	4983	4176	5808	9650	6298	9025
AGAP001947	2206	1671	1685	1489	1547	2111	1891	1674	1139	1843	1565	1861
AGAP012837	80	61	27	52	328	698	309	511	524	753	517	773
AGAP002423	45	21	6	11	7	4	6	8	0	8	2	6
AGAP007361	7878	4587	5387	4309	5377	5834	4092	4418	6130	6523	6187	6485
AGAP008095	114	54	69	55	146	175	120	127	55	84	51	72
AGAP029736	35	9	11	8	9	12	13	10	15	48	20	22
AGAP028502	1753	937	1150	1137	958	1288	1177	1082	907	1329	1059	1422
AGAP013194	2494	1356	1045	1441	1813	552	638	615	385	1229	741	480
AGAP010609	755	471	530	425	260	307	386	225	324	436	531	536
AGAP006367	2862	1592	1940	1288	184	208	383	208	161	120	165	108
AGAP009145	41040	19021	23403	20667	824	785	581	781	2191	1284	1601	2334
AGAP002835	1642	1015	920	918	488	329	270	387	601	737	618	722
AGAP012003	105	31	86	64	68	68	81	108	113	155	128	184
AGAP007957	6319	3766	4559	4059	7982	10934	9546	8511	4550	6734	6215	6900
AGAP004487	6230	4486	4207	3583	3310	3765	2805	2999	3332	3483	3046	3696
AGAP009329	2332	1721	1720	1620	1742	2160	1884	2018	946	1879	1421	1608
AGAP003601	1951	1185	1054	1042	589	590	664	538	749	868	795	982
AGAP001559	4599	2860	3236	3126	3449	3617	2816	3239	2702	3528	3748	3539
AGAP002220	502	238	377	313	148	151	180	138	328	320	336	359
AGAP013009	256	212	125	106	91	115	169	154	24	72	61	71
AGAP011950	34	14	9	13	29	19	28	47	7	23	24	29
AGAP010856	279	242	157	171	61	73	54	73	33	49	39	62
AGAP011872	12684	9720	9663	8229	15589	17838	14524	14755	12284	15302	12031	14499
AGAP009998	182105	95279	101453	97476	80034	77142	47706	72055	94948	96489	88280	100728
AGAP012415	1839	1367	1175	898	600	632	483	566	476	499	551	569
AGAP001544	5634	3880	4332	3542	2055	2724	1784	1744	2894	3700	4743	5659
AGAP011957	228	200	143	131	400	449	422	444	173	364	320	292
AGAP009543	83	63	74	43	21	23	18	18	23	17	17	17
AGAP004917	708	209	397	314	114	161	76	82	250	128	149	157
AGAP028185	381	228	237	267	231	261	219	225	180	302	323	311
AGAP005456	9775	9340	5980	4455	734	1282	1091	1119	590	1288	762	930
AGAP002155	2094	1559	1668	1717	3943	4524	3310	3889	2718	3725	3065	3957
AGAP008100	735	495	504	561	911	1316	1509	1009	514	1053	621	828
AGAP011546	2624	1730	1865	1601	1874	2234	1881	1803	1416	1839	1978	2038
AGAP001344	241	167	140	117	71	118	110	141	39	88	68	105
AGAP000574	2283	1554	1476	1233	2317	2543	2368	2040	3125	2605	2644	2865
AGAP012862	0	0	0	0	0	1	0	0	2	1	0	0
AGAP004090	1548	831	1113	886	1624	2480	1971	1989	1799	2370	1923	2665
AGAP005653	1060	754	594	618	1265	1103	1204	1334	474	544	474	524
AGAP013279	129	98	48	60	76	81	83	79	67	63	34	44
AGAP006771	1979	1369	1459	1147	795	882	861	810	694	776	706	643
AGAP001083	5835	3576	3621	3324	3887	4182	3156	2858	3379	3947	3896	4628
AGAP006918	48518	32512	31223	26089	22392	26489	16352	23952	12372	16737	13896	14903
AGAP003397	3527	1966	2420	2243	4173	4215	3296	3413	2969	4410	3958	4442
AGAP002791	1934	856	1249	1018	1038	1266	795	761	1482	1675	1440	1998
AGAP006172	104	55	49	40	25	43	28	26	18	13	12	25
AGAP012438	11	0	0	2	2	7	7	7	4	10	8	5
AGAP004152	2572	1182	1364	1194	1644	2100	1572	1489	1683	2398	2119	2547
AGAP005241	694	566	477	453	645	605	256	542	177	205	232	140
AGAP006321	26	5	5	16	6	0	8	17	10	3	2	2
AGAP006681	1380	836	828	832	802	925	671	631	931	856	876	856
AGAP008813	20065	14597	14179	12662	11410	13452	10758	11214	11256	12029	10974	14599
AGAP000032	5919	5648	4485	4095	9305	9816	10511	10745	5843	8257	5974	7387
AGAP000609	6434	3124	3879	3313	4560	3649	2322	3888	1517	2335	1615	2509
AGAP029988	732	464	550	544	1331	1659	1860	1395	609	1266	1214	1284
