	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP002902	998	563	761	661	2238	2729	2399	2449	1725	2643	2183	2390
AGAP008329	235955	136658	150893	143178	125859	126005	87290	116505	113065	142124	132039	152827
AGAP000272	1914	1111	1333	1265	837	953	946	934	1260	1429	1434	1561
AGAP010877	1541	1009	995	979	905	932	1048	991	488	851	841	756
AGAP003070	885	677	584	521	1721	1991	2219	2178	897	1585	1089	1671
AGAP009496	10941	7167	7067	7523	12547	12880	10008	10821	8638	11344	10204	12262
AGAP013480	146	88	53	50	62	55	67	75	52	101	66	64
AGAP012588	90	56	29	45	56	75	79	63	22	45	40	83
AGAP011666	589	247	339	371	306	341	165	206	249	309	289	349
AGAP006009	388	219	190	190	177	442	305	288	2021	1220	795	1655
AGAP006840	37	6	10	5	4	0	9	5	0	0	1	5
AGAP029890	57	9	8	21	7	2	1	3	0	5	3	0
AGAP029992	404	264	231	182	331	517	539	493	289	286	229	344
AGAP005604	235	104	176	131	99	91	73	63	93	135	100	142
AGAP013061	5550	5763	4005	3317	3203	2982	1463	2759	1229	1875	1690	2241
AGAP009388	12506	8935	8427	8297	3579	3615	2700	3740	2788	3595	3517	3822
AGAP005668	68	6	11	12	2	6	7	15	0	10	1	2
AGAP000720	8657	6516	6783	5362	10719	12421	12195	12397	6521	8347	6935	8229
AGAP000707	420	208	173	139	595	913	1338	826	263	535	375	520
AGAP029318	111	102	62	57	319	365	275	327	152	194	169	169
AGAP004444	64	54	42	22	111	133	123	119	53	78	48	59
AGAP012599	134	48	87	112	66	87	53	48	93	76	77	133
AGAP003082	73	35	27	28	37	6	11	20	3	6	3	5
AGAP000283	378	223	254	204	422	399	357	345	192	234	246	286
AGAP008885	699	439	529	523	838	1103	949	850	724	1001	813	1050
AGAP010846	202	38	25	70	51	69	94	167	4	46	41	31
AGAP002552	1116	1315	836	691	526	932	576	788	338	380	271	365
AGAP029802	1159	884	778	708	2302	3054	2564	2842	982	1294	1042	1830
AGAP010792	43303	27327	26455	23611	23700	26231	20225	27019	13499	20855	16758	17784
AGAP000714	88	36	24	26	43	77	39	65	20	19	12	25
AGAP001148	10324	6351	6909	7058	8730	8286	5947	6524	7117	8492	7852	8953
AGAP003498	3371	3026	2593	2527	2950	3585	3084	3158	2128	3232	3018	3407
AGAP001780	3813	2264	2746	2235	9700	12736	13955	11153	7457	12289	8433	11838
AGAP003965	427	357	288	200	232	273	223	369	121	164	135	193
AGAP005220	1488	724	834	783	450	466	317	431	612	596	511	717
AGAP013186	13676	6447	8391	6577	3243	3565	1865	2993	4013	3169	3511	4111
AGAP001639	6657	3489	3924	3896	3542	3567	2532	2799	2908	3859	3791	4273
AGAP013749	29	15	10	5	2	0	2	2	0	1	2	0
AGAP003920	919	443	597	424	247	338	189	224	535	394	349	442
AGAP011829	13785	8047	9418	7739	8733	8887	6160	9629	4843	6101	5470	6266
AGAP029756	38	6	2	12	10	4	6	4	3	3	0	0
AGAP000850	2483	1382	1847	1516	1480	1585	1173	1326	1525	2005	1446	1820
AGAP004118	700	285	463	360	118	80	116	170	66	87	79	87
AGAP006531	729	309	486	385	317	494	283	308	568	511	493	672
AGAP004154	328	223	166	142	149	245	194	194	133	230	153	233
AGAP003983	2054	1473	1760	2159	2486	3235	3029	2746	1782	3146	2810	3009
AGAP004900	17150	8986	10770	9995	11139	10471	6470	9259	5578	7665	8764	7437
AGAP003375	26	48	37	11	107	41	83	58	3	11	10	8
AGAP029110	285	222	169	146	68	93	103	75	19	46	38	54
AGAP002769	3490	2195	2243	2103	1991	2627	1869	2417	4938	3368	2698	4363
AGAP009280	288	126	137	165	402	474	447	432	352	435	485	588
AGAP002465	143700	81428	91697	75294	60547	57860	37161	43989	77909	66202	69450	83018
AGAP001257	25704	18020	17556	18523	30740	35341	29044	36428	26354	31864	32476	34687
AGAP012835	590	266	299	327	143	174	168	188	184	217	256	324
AGAP002572	880	426	483	457	458	695	566	403	498	474	390	701
AGAP005513	207	215	119	100	354	434	430	396	356	617	296	462
AGAP028675	661	344	477	357	272	271	224	254	489	412	326	491
AGAP007835	1005	626	772	452	1836	2247	1843	1554	1122	1820	1057	1751
AGAP004020	3292	1953	2230	1834	2288	2293	1843	1934	1829	2524	2367	2347
AGAP013315	355	192	190	216	267	474	433	331	129	265	228	199
AGAP002226	626	406	355	274	1100	1737	1975	1500	380	791	532	737
AGAP007295	241	73	156	121	164	237	125	204	188	288	263	294
AGAP007871	692	441	470	482	444	634	472	420	469	606	505	589
AGAP013053	4905	2706	3212	2814	2185	2289	1857	1677	2264	2522	2521	2449
AGAP004509	4120	2432	2575	2415	2178	2308	1734	1806	2110	2515	2544	2839
